id,source,sink
1,1,4
2,2,4
3,2,7
4,3,6
5,4,1
6,4,2
7,4,8
8,5,8
9,6,3
10,6,10
11,6,14
12,7,2
13,7,9
14,7,11
15,8,4
16,8,5
17,8,14
18,9,2
19,9,13
20,10,6
21,10,12
22,11,7
23,11,15
24,12,10
25,12,17
26,13,4
27,13,8
28,14,6
29,14,8
30,14,21
31,15,11
32,15,20
33,15,23
34,16,19
35,16,22
36,16,26
37,17,12
38,17,29
39,17,33
40,18,11
41,18,159
42,19,16
43,19,24
44,19,47
45,20,23
46,20,25
47,21,14
48,21,18
49,22,16
50,22,34
51,22,43
52,23,15
53,23,30
54,24,19
55,24,26
56,24,40
57,25,28
58,26,16
59,26,24
60,26,27
61,27,26
62,27,41
63,28,31
64,28,38
65,29,17
66,29,21
67,29,32
68,30,23
69,30,39
70,30,42
71,31,32
72,32,29
73,32,35
74,32,48
75,33,17
76,33,29
77,33,35
78,34,27
79,34,41
80,35,33
81,35,45
82,36,37
83,36,51
84,37,36
85,37,42
86,37,63
87,38,25
88,38,53
89,39,55
90,40,26
91,40,54
92,41,49
93,41,61
94,42,30
95,42,37
96,43,22
97,43,34
98,43,49
99,44,31
100,44,38
101,45,52
102,46,53
103,46,55
104,47,19
105,47,33
106,47,52
107,48,44
108,48,64
109,49,43
110,49,65
111,50,51
112,51,36
113,51,50
114,51,72
115,52,47
116,52,56
117,53,46
118,53,68
119,54,40
120,54,47
121,54,60
122,55,46
123,55,68
124,56,60
125,57,62
126,58,39
127,58,42
128,58,57
129,59,44
130,59,53
131,60,54
132,60,69
133,60,104
134,61,54
135,61,69
136,62,63
137,62,96
138,63,66
139,63,95
140,64,59
141,65,49
142,65,61
143,65,73
144,66,36
145,66,70
146,67,64
147,68,80
148,68,85
149,69,73
150,69,112
151,70,66
152,70,72
153,71,67
154,72,51
155,72,70
156,72,76
157,73,65
158,73,82
159,73,116
160,74,71
161,74,92
162,75,66
163,75,76
164,76,70
165,76,72
166,76,101
167,77,56
168,78,65
169,79,72
170,79,159
171,80,67
172,80,81
173,81,86
174,81,114
175,82,78
176,82,89
177,83,74
178,84,45
179,84,83
180,85,58
181,86,71
182,86,92
183,87,77
184,87,84
185,87,91
186,88,78
187,89,93
188,89,124
189,90,88
190,90,100
191,91,77
192,91,87
193,92,74
194,92,109
195,92,129
196,93,88
197,93,100
198,94,103
199,95,75
200,95,96
201,95,101
202,96,95
203,96,97
204,97,96
205,97,98
206,97,158
207,98,57
208,98,97
209,99,91
210,99,127
211,100,102
212,100,134
213,101,76
214,101,95
215,101,110
216,101,144
217,102,106
218,103,94
219,103,155
220,104,60
221,104,99
222,105,136
223,106,113
224,106,142
225,107,85
226,108,90
227,108,113
228,109,121
229,110,79
230,110,101
231,111,108
232,112,104
233,112,176
234,113,117
235,113,151
236,114,107
237,115,91
238,116,73
239,116,112
240,116,194
241,117,111
242,117,120
243,118,86
244,118,114
245,119,116
246,120,130
247,120,164
248,121,133
249,121,185
250,122,111
251,123,119
252,123,156
253,124,128
254,124,162
255,125,122
256,125,132
257,126,95
258,127,115
259,127,193
260,128,93
261,128,134
262,129,92
263,129,118
264,129,188
265,130,122
266,130,132
267,131,123
268,131,184
269,132,135
270,132,196
271,133,83
272,133,147
273,134,137
274,134,178
275,135,138
276,136,105
277,136,131
278,136,190
279,137,102
280,137,142
281,138,140
282,138,211
283,139,136
284,139,226
285,140,141
286,141,146
287,141,165
288,142,151
289,142,187
290,143,107
291,143,169
292,144,101
293,144,126
294,144,207
295,145,82
296,145,139
297,146,150
298,146,171
299,147,177
300,147,227
301,148,104
302,148,127
303,149,125
304,150,153
305,151,174
306,152,145
307,153,160
308,153,239
309,154,117
310,155,149
311,155,167
312,156,179
313,156,198
314,157,109
315,157,129
316,158,98
317,158,166
318,159,192
319,160,161
320,161,168
321,161,250
322,162,152
323,162,248
324,163,149
325,163,167
326,164,120
327,164,154
328,164,199
329,165,141
330,165,171
331,165,230
332,166,183
333,166,201
334,167,235
335,168,170
336,169,118
337,169,188
338,170,163
339,170,259
340,171,234
341,172,128
342,172,162
343,173,110
344,174,154
345,174,191
346,175,163
347,175,208
348,176,148
349,176,243
350,177,115
351,177,193
352,178,172
353,178,265
354,179,184
355,179,202
356,180,103
357,180,155
358,181,157
359,181,241
360,182,137
361,182,178
362,183,206
363,183,219
364,184,190
365,184,210
366,185,121
367,185,181
368,186,126
369,186,158
370,186,207
371,187,182
372,187,251
373,188,212
374,188,254
375,189,130
376,189,164
377,190,218
378,191,174
379,191,187
380,191,199
381,191,229
382,192,284
383,192,566
384,193,216
385,193,291
386,194,116
387,194,176
388,194,278
389,195,20
390,195,173
391,196,189
392,196,242
393,197,119
394,197,198
395,198,202
396,198,245
397,199,209
398,199,247
399,200,135
400,200,196
401,201,204
402,202,205
403,203,133
404,203,185
405,204,158
406,204,214
407,205,210
408,206,143
409,206,228
410,207,144
411,207,186
412,207,220
413,207,274
414,208,175
415,208,277
416,209,215
417,209,306
418,210,213
419,211,200
420,211,268
421,212,157
422,212,241
423,213,218
424,213,301
425,214,186
426,215,224
427,216,148
428,216,243
429,217,194
430,217,197
431,218,222
432,219,201
433,219,276
434,220,207
435,220,263
436,221,140
437,221,211
438,222,226
439,223,180
440,224,231
441,224,317
442,225,208
443,226,232
444,226,332
445,227,203
446,227,309
447,227,320
448,228,254
449,229,191
450,229,251
451,230,165
452,230,221
453,230,302
454,231,189
455,231,242
456,232,145
457,232,238
458,233,223
459,233,244
460,234,230
461,234,310
462,235,223
463,235,244
464,236,150
465,236,234
466,237,253
467,237,280
468,238,152
469,238,248
470,238,345
471,239,236
472,239,329
473,240,233
474,240,256
475,241,285
476,241,288
477,242,258
478,242,330
479,243,278
480,243,343
481,244,256
482,244,315
483,245,217
484,245,321
485,246,160
486,246,239
487,247,229
488,247,299
489,248,257
490,249,220
491,250,246
492,250,349
493,251,229
494,251,279
495,252,240
496,252,264
497,253,237
498,253,283
499,253,350
500,254,271
501,254,304
502,255,168
503,255,250
504,256,240
505,256,264
506,256,338
507,257,172
508,257,265
509,258,200
510,258,268
511,259,255
512,259,356
513,260,225
514,260,290
515,260,331
516,261,259
517,261,266
518,262,177
519,262,227
520,263,220
521,263,293
522,263,308
523,264,273
524,264,367
525,265,257
526,265,272
527,266,261
528,266,359
529,267,175
530,267,266
531,268,286
532,268,344
533,269,237
534,269,283
535,270,204
536,270,214
537,271,212
538,271,296
539,272,182
540,272,279
541,273,281
542,273,388
543,274,173
544,275,205
545,275,245
546,276,270
547,276,308
548,277,267
549,277,303
550,277,369
551,278,194
552,278,300
553,278,370
554,279,251
555,279,294
556,279,297
557,280,252
558,281,289
559,282,274
560,282,287
561,283,298
562,283,408
563,284,274
564,284,282
565,285,313
566,286,221
567,286,302
568,287,249
569,287,282
570,287,326
571,288,203
572,288,309
573,289,292
574,289,438
575,290,235
576,290,315
577,291,262
578,292,295
579,292,307
580,293,249
581,293,326
582,294,299
583,295,253
584,295,280
585,296,313
586,296,337
587,297,279
588,297,368
589,297,379
590,298,312
591,299,306
592,299,398
593,300,217
594,300,321
595,301,213
596,301,275
597,301,373
598,302,230
599,302,310
600,303,225
601,303,277
602,303,331
603,304,271
604,304,341
605,305,206
606,305,276
607,306,311
608,307,334
609,308,263
610,308,333
611,308,342
612,309,227
613,309,357
614,309,381
