id,lng,lat
1,-74.017946,40.706991
2,-74.01793,40.706175
3,-74.017808,40.707914
4,-74.017575,40.70684
5,-74.017503,40.707624
6,-74.017398,40.708457
7,-74.017363,40.704931
8,-74.01712,40.707462
9,-74.017011,40.70579
10,-74.016979,40.709037
11,-74.016922,40.704801
12,-74.016765,40.709333
13,-74.016753,40.706544
14,-74.016626,40.708134
15,-74.016513,40.704805
16,-74.01644,40.716299
17,-74.016375,40.710085
18,-74.016338,40.706489
19,-74.01598,40.715077
20,-74.015905,40.706658
21,-74.015828,40.707801
22,-74.015769,40.717671
23,-74.015693,40.704841
24,-74.015598,40.715546
25,-74.015522,40.707676
26,-74.015383,40.715829
27,-74.015219,40.716014
28,-74.015185,40.708522
29,-74.015066,40.709856
30,-74.014898,40.704755
31,-74.014874,40.709417
32,-74.014734,40.709821
33,-74.014666,40.711087
34,-74.014543,40.717104
35,-74.014486,40.710969
36,-74.01443,40.703151
37,-74.014392,40.703598
38,-74.014382,40.708224
39,-74.014325,40.706234
40,-74.014297,40.71535
41,-74.014296,40.716992
42,-74.014281,40.704609
43,-74.014057,40.71772
44,-74.014054,40.709078
45,-74.014007,40.712926
46,-74.013961,40.707111
47,-74.013945,40.713793
48,-74.013889,40.709498
49,-74.013808,40.717608
50,-74.013772,40.701239
51,-74.013741,40.702369
52,-74.013731,40.713708
53,-74.013592,40.707968
54,-74.013559,40.715237
55,-74.013518,40.706943
56,-74.013495,40.714483
57,-74.013353,40.705025
58,-74.013327,40.705903
59,-74.013263,40.708731
60,-74.013216,40.715198
61,-74.01319,40.716499
62,-74.013188,40.704043
63,-74.013114,40.703588
64,-74.013082,40.709147
65,-74.013027,40.717247
66,-74.012998,40.7031
67,-74.012992,40.709354
68,-74.012962,40.70777
69,-74.012915,40.716395
70,-74.012879,40.702664
71,-74.012839,40.70971
72,-74.012834,40.70245
73,-74.012787,40.71713
74,-74.012646,40.710135
75,-74.01257,40.703207
76,-74.012336,40.702751
77,-74.012328,40.713941
78,-74.012285,40.720338
79,-74.012265,40.70154
80,-74.012144,40.70898
81,-74.012098,40.709049
82,-74.012055,40.720308
83,-74.011996,40.712057
84,-74.01199,40.712078
85,-74.011947,40.707452
86,-74.011935,40.709306
87,-74.011886,40.712868
88,-74.01185,40.722336
89,-74.01178,40.721631
90,-74.011713,40.722999
91,-74.01171,40.713656
92,-74.011674,40.709687
93,-74.011653,40.72231
94,-74.011591,40.739924
95,-74.011583,40.703519
96,-74.011576,40.704019
97,-74.011569,40.704249
98,-74.01155,40.704991
99,-74.011527,40.714294
100,-74.011524,40.72298
101,-74.011505,40.702959
102,-74.011387,40.723624
103,-74.011383,40.73991
104,-74.011349,40.714909
105,-74.011295,40.71891
106,-74.011267,40.724274
107,-74.011248,40.708304
108,-74.011246,40.725186
109,-74.011232,40.710367
110,-74.011166,40.701781
111,-74.011123,40.725837
112,-74.011108,40.715592
113,-74.011048,40.725162
114,-74.011012,40.708594
115,-74.011,40.713329
116,-74.010968,40.716303
117,-74.010887,40.725804
118,-74.010846,40.708797
119,-74.010834,40.716925
120,-74.010821,40.726153
121,-74.010801,40.711017
122,-74.01077,40.729106
123,-74.010693,40.71747
124,-74.010683,40.721523
125,-74.010666,40.729841
126,-74.010602,40.703707
127,-74.010561,40.713846
128,-74.010561,40.722201
129,-74.010542,40.709154
130,-74.010538,40.729093
131,-74.010527,40.718114
132,-74.010478,40.729823
133,-74.010465,40.711535
134,-74.010452,40.722859
135,-74.010418,40.730543
136,-74.010401,40.718802
137,-74.010341,40.723513
138,-74.010338,40.731287
139,-74.010293,40.719451
140,-74.010272,40.732007
141,-74.010229,40.732416
142,-74.010223,40.724169
143,-74.010201,40.707694
144,-74.010201,40.703321
145,-74.010182,40.720115
146,-74.01016,40.733145
147,-74.010153,40.712064
148,-74.010128,40.714383
149,-74.010117,40.738569
150,-74.0101,40.733841
151,-74.010074,40.72508
152,-74.01007,40.720755
153,-74.01004,40.734543
154,-74.010023,40.725262
155,-74.010023,40.739323
156,-74.009991,40.717377
157,-74.009988,40.709806
158,-74.009984,40.705148
159,-74.009984,40.701827
160,-74.009971,40.735291
161,-74.00992,40.735974
162,-74.009919,40.721463
163,-74.009911,40.738705
164,-74.009907,40.726073
165,-74.009869,40.73245
166,-74.009866,40.705797
167,-74.009851,40.739297
168,-74.009834,40.736949
169,-74.009829,40.708117
