edge_id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
1,2,3,2,1,11,1,1,10,9,14,2,1,8,1,2,2,2,2,1,18,12,2,3,1
2,23,3,13,28,20,12,22,31,20,16,17,23,11,16,20,30,19,30,18,3,7,3,17,5
3,44,29,22,55,54,13,29,11,39,23,35,29,29,11,26,23,26,18,33,27,35,18,32,16
4,6,7,2,3,35,7,9,20,12,8,22,5,2,2,24,18,34,2,11,9,23,32,21,21
5,1,3,2,13,18,14,14,1,13,14,16,13,1,8,12,2,2,13,14,18,12,2,3,1
6,19,15,3,9,7,31,30,6,20,12,25,15,15,8,13,21,39,21,4,7,13,7,19,16
7,3,16,24,15,26,11,15,23,20,17,19,11,21,15,10,20,19,21,12,22,10,17,19,3
8,13,7,13,1,18,12,1,15,6,5,1,10,2,1,3,14,2,2,14,1,2,8,5,2
9,19,18,7,24,35,19,9,20,18,19,15,13,19,16,16,18,17,18,7,17,18,25,17,2
10,3,10,11,11,14,9,10,7,9,11,9,9,10,12,9,13,12,11,9,13,17,19,8,4
11,5,3,2,17,31,23,15,19,12,9,26,13,9,4,14,28,29,14,6,13,24,34,4,9
12,36,18,11,26,30,48,42,21,27,29,35,29,29,8,27,7,26,35,36,13,13,20,20,16
13,28,18,5,5,12,15,13,13,25,19,22,18,19,14,12,10,24,21,17,20,19,17,20,5
14,8,7,10,14,14,16,15,12,7,8,9,7,7,8,7,10,7,6,8,10,7,9,3,12
15,14,11,6,6,14,13,30,23,20,17,17,14,6,4,19,17,6,21,3,12,19,15,6,6
16,13,1,1,1,18,14,14,1,1,8,6,7,4,1,9,1,2,2,6,9,12,17,11,11
17,20,16,21,21,19,19,16,17,15,13,14,16,16,17,10,15,14,16,13,4,11,27,11,4
18,13,23,6,26,44,35,34,12,16,13,14,16,17,25,15,23,15,19,19,22,28,8,4,27
19,24,23,12,21,36,24,17,17,15,17,15,16,16,14,14,16,21,16,15,21,14,10,21,21
20,13,16,20,26,21,29,5,10,18,12,23,13,20,2,10,9,25,10,7,7,14,22,3,4
21,9,7,7,5,7,3,5,2,4,6,4,5,4,6,5,3,4,4,4,4,6,7,5,1
22,11,11,10,14,10,8,11,12,10,11,9,7,7,9,9,9,10,10,12,10,13,10,9,5
23,5,4,6,8,7,7,5,10,6,5,8,6,6,4,6,6,6,3,7,7,3,5,2,4
24,11,10,13,13,14,15,10,5,9,8,8,7,5,9,7,3,5,8,9,10,7,17,9,1
25,21,16,16,13,17,8,12,4,11,13,11,11,12,12,11,7,15,9,3,12,15,15,10,3
26,6,7,3,27,6,14,29,4,19,10,24,14,10,15,13,29,13,5,5,9,14,3,3,9
27,7,7,10,34,27,25,26,27,24,26,23,25,27,27,21,25,30,25,14,18,19,16,13,7
28,18,10,12,18,14,17,10,10,9,11,9,9,10,15,9,13,12,14,14,10,17,16,8,4
29,12,19,6,19,10,33,16,19,22,18,19,16,13,16,15,6,15,11,7,4,10,16,8,13
30,8,10,6,27,32,24,15,14,12,9,16,13,9,31,7,24,30,29,3,5,7,35,3,5
31,10,9,12,12,12,9,9,10,9,10,8,6,9,8,8,7,12,9,11,17,11,13,8,9
32,10,39,13,29,12,25,22,24,37,31,28,30,22,33,26,32,19,39,21,18,29,26,23,36
33,8,8,10,17,24,27,27,20,17,15,12,13,13,11,11,10,11,8,15,17,7,6,6,12
34,14,6,20,50,25,20,39,17,44,31,7,30,26,21,29,51,38,47,20,73,44,14,18,12
35,12,43,18,26,11,17,48,15,29,30,19,26,24,33,28,33,34,45,20,44,33,18,33,9
36,3,20,18,20,15,3,20,4,13,12,13,14,6,19,13,38,35,39,39,51,34,4,3,6
37,25,24,32,32,45,24,24,26,23,13,20,16,13,21,16,11,11,23,21,24,17,24,21,20
38,12,21,11,28,22,26,15,13,20,17,14,15,22,11,14,10,19,11,19,29,19,4,12,6
39,27,22,32,56,43,50,47,32,47,45,44,45,51,43,40,39,46,28,34,43,49,32,38,13
40,9,22,22,16,20,19,26,28,27,24,27,17,28,23,18,21,7,21,6,8,12,10,16,7
41,38,93,48,54,71,63,98,95,119,76,95,61,70,59,67,128,96,132,92,65,35,96,99,51
42,14,20,15,30,25,20,40,17,51,46,22,30,26,33,30,40,38,27,33,34,31,18,35,10
43,2,16,4,8,17,9,12,9,15,10,6,9,9,6,8,9,8,19,19,7,12,2,5,2
44,34,68,29,57,48,23,54,17,40,40,62,55,45,45,61,26,49,35,87,44,70,57,31,18
45,19,27,88,20,33,28,74,29,55,28,41,22,99,25,65,41,35,96,98,73,35,67,47,29
46,6,18,6,12,8,19,12,13,15,17,15,21,15,23,14,18,11,18,18,11,8,10,15,20
47,22,20,9,19,9,30,14,22,13,11,14,14,11,18,10,4,9,8,9,5,9,10,7,8
48,5,17,17,30,21,29,20,22,27,22,20,28,22,18,20,17,20,16,20,19,12,11,12,7
49,14,10,22,10,12,45,30,16,17,24,28,17,24,29,22,43,20,7,6,25,36,27,15,7
50,9,13,20,18,15,23,22,20,15,23,22,35,46,47,31,45,48,15,46,20,22,14,9,7
51,7,25,40,32,21,17,33,17,29,28,33,32,37,37,39,51,43,35,50,28,35,29,9,10
52,19,18,13,17,18,19,13,15,17,19,12,13,13,16,16,12,24,18,21,34,23,32,16,17
53,2,8,9,17,24,27,26,20,17,19,12,10,13,11,11,10,11,8,14,17,7,4,4,12
54,21,16,6,17,24,19,12,26,22,17,22,16,24,25,21,23,22,18,3,13,20,12,12,4
55,12,10,4,3,14,5,7,11,7,4,4,5,5,4,4,7,6,11,3,7,4,9,1,1
56,13,29,19,39,27,14,43,31,26,26,19,24,30,24,18,30,14,4,17,10,26,9,4,8
57,5,15,5,14,7,11,10,11,13,14,13,18,13,19,12,15,13,15,10,6,9,8,12,21
58,35,27,7,36,41,40,40,13,37,41,47,17,33,42,18,32,34,16,11,24,34,7,31,8
59,10,1,5,13,7,14,7,15,13,10,13,10,14,15,12,14,18,10,9,11,12,1,11,9
60,1,5,2,6,9,8,5,7,5,3,5,3,5,4,4,4,6,5,9,6,2,6,1,1
61,1,3,1,2,5,9,3,3,6,4,4,5,5,4,4,5,6,3,1,4,2,1,6,1
62,5,19,25,27,22,36,27,30,28,16,20,19,20,20,23,25,33,29,14,39,11,25,5,7
63,6,16,5,8,3,16,11,12,13,15,13,19,13,20,13,9,10,15,9,7,7,12,14,17
64,13,20,27,18,21,30,29,8,11,16,3,20,29,21,13,16,24,20,18,37,25,11,13,9
65,32,30,41,41,5,31,17,9,20,32,25,21,31,27,27,20,19,30,35,31,38,15,27,25
66,23,27,34,37,32,45,32,42,41,35,52,43,35,34,31,21,28,26,38,37,31,25,27,19
67,6,5,5,7,7,6,4,5,5,4,4,5,5,3,3,5,7,7,6,14,7,10,7,9
68,19,18,13,17,18,19,13,12,17,14,15,12,13,16,16,15,16,18,21,23,22,31,13,17
69,28,31,42,42,38,46,47,37,43,47,22,31,32,34,28,21,21,20,29,41,28,26,28,20
70,2,6,8,14,23,22,21,23,20,22,20,21,13,13,14,21,28,21,21,11,8,3,3,14
71,13,12,8,11,8,9,6,9,8,7,5,8,9,11,11,10,9,12,14,23,15,16,11,14
72,8,7,10,10,4,5,5,4,5,8,6,7,8,1,7,5,7,7,9,14,9,13,7,9
73,16,15,15,15,17,18,25,18,15,19,17,18,19,20,16,23,12,19,18,14,17,13,14,22
74,22,15,14,20,28,26,15,13,20,22,18,15,15,19,19,6,13,21,24,39,19,27,19,24
75,20,29,40,35,35,31,35,24,40,23,35,24,43,39,34,39,33,22,22,25,38,34,32,32
76,25,21,20,22,30,27,19,31,25,30,31,26,26,25,19,27,24,23,23,22,26,20,25,26
77,2,2,5,5,10,8,8,6,5,3,5,5,4,3,2,4,3,2,4,5,3,6,3,4
78,5,19,19,34,31,25,19,24,35,30,24,25,13,25,25,7,17,18,8,17,5,5,5,6
79,7,4,6,6,7,10,3,2,6,5,8,3,7,6,4,6,8,7,7,5,6,9,1,4
80,7,5,2,7,10,8,6,6,7,8,9,8,8,8,7,7,10,8,8,10,7,5,4,6
81,22,30,31,26,30,30,43,30,26,32,29,31,32,34,27,40,29,40,31,38,29,29,29,37
82,17,9,12,12,19,14,14,11,13,14,12,13,9,10,8,7,12,9,13,12,8,8,15,7
83,4,16,10,22,37,29,29,31,27,23,24,20,12,19,19,28,18,15,14,14,10,5,9,16
84,2,8,8,5,2,14,13,14,13,11,11,9,5,9,9,13,8,7,5,4,5,2,4,6
85,39,21,28,28,42,44,31,25,29,31,28,21,21,22,19,17,28,21,30,23,19,17,33,16
86,23,18,17,38,54,42,41,45,39,43,49,41,42,44,37,40,53,41,41,53,12,49,17,11
87,8,11,6,26,16,9,23,9,30,33,26,31,32,9,30,8,28,23,18,10,15,49,12,8
88,13,19,18,18,36,28,28,21,18,20,23,19,20,29,17,27,36,19,28,36,24,33,12,22
89,21,14,8,19,15,19,20,19,27,29,14,19,20,21,17,11,13,12,11,18,17,16,12,8
90,8,12,19,37,17,41,20,44,38,42,21,40,41,25,36,33,30,40,40,23,35,7,20,30
91,22,9,5,22,20,25,24,11,15,19,8,18,25,26,22,24,14,24,24,31,21,29,2,19
92,6,11,14,12,11,18,11,8,11,9,6,11,14,12,10,11,19,10,6,11,3,17,11,3
93,4,28,27,10,9,11,34,4,8,18,11,22,12,7,26,23,26,15,17,26,19,12,23,8
94,16,15,14,14,15,11,11,12,14,12,12,10,11,13,9,10,7,15,12,19,13,12,13,10
95,4,17,31,22,26,31,30,33,29,31,36,30,12,20,20,29,27,19,19,15,11,6,10,22
96,37,46,52,39,36,47,66,25,44,37,29,32,25,31,23,11,21,28,28,34,33,26,51,6
97,9,11,11,12,40,31,11,17,20,17,18,15,10,14,14,10,10,13,11,10,19,22,7,5
98,4,6,9,6,2,2,5,4,3,5,5,9,7,5,6,9,6,4,9,9,4,5,1,7
99,22,21,22,19,19,15,11,19,14,22,17,21,21,19,19,17,19,21,24,39,26,21,19,24
100,28,26,19,24,34,19,18,29,17,19,22,18,18,23,23,21,24,26,24,34,32,45,23,24
