edge_id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
1,4,6,8,1,11,1,14,13,7,8,16,12,12,1,16,11,4,2,6,6,1,4,4,13
2,30,29,17,23,24,23,17,29,21,53,18,30,28,12,36,3,5,11,17,11,23,12,9,14
3,62,27,40,35,19,24,30,40,39,32,28,38,38,29,34,22,25,30,13,33,27,15,18,29
4,5,6,37,2,21,28,3,12,36,49,15,7,7,27,15,43,33,34,35,41,31,35,43,2
5,14,8,1,17,16,10,7,13,18,18,11,18,9,14,13,8,17,1,18,10,16,1,22,9
6,3,29,3,18,4,12,15,20,20,28,14,19,19,15,11,3,13,7,3,13,17,40,20,30
7,30,11,29,18,35,3,12,20,18,6,13,30,27,21,36,14,4,15,14,15,35,10,3,21
8,4,1,14,1,1,1,1,13,19,13,11,1,13,14,1,2,1,1,19,22,16,6,3,5
9,19,20,37,16,31,28,19,18,25,24,12,13,17,13,15,21,11,16,24,15,15,2,16,26
10,10,9,9,7,6,5,11,10,8,17,12,9,12,13,8,11,9,17,9,8,8,7,9,9
11,7,3,15,35,24,25,7,20,3,28,10,13,6,28,11,46,16,30,5,12,33,38,2,28
12,20,35,19,27,21,29,34,40,33,38,9,36,24,29,28,32,31,28,15,18,6,35,40,21
13,19,25,15,15,11,15,19,17,25,28,5,18,24,18,16,17,12,16,24,22,13,24,22,15
14,16,10,15,9,12,8,8,10,10,8,8,10,10,7,9,8,6,9,5,8,5,5,8,7
15,22,10,8,37,24,32,31,20,20,45,17,19,19,15,11,3,12,18,19,15,7,14,7,14
16,1,3,1,12,11,6,7,9,19,7,16,18,13,4,8,8,12,5,1,15,1,1,9,3
17,11,17,32,19,20,17,12,15,21,21,14,11,14,16,10,18,14,20,15,11,13,10,10,16
18,10,11,47,20,21,19,17,22,22,18,4,21,21,23,19,18,20,21,7,19,9,15,18,7
19,11,7,46,32,17,24,16,15,22,21,18,16,14,16,10,18,10,20,21,12,18,17,14,10
20,7,26,14,29,25,14,11,14,7,13,3,10,14,10,16,15,7,17,7,16,16,10,4,12
21,5,5,5,8,3,5,2,5,3,6,1,5,6,7,4,6,4,6,7,7,4,4,3,5
22,11,6,7,9,12,8,8,10,10,14,7,7,10,7,7,7,9,9,10,11,8,10,9,6
23,4,3,9,11,8,7,7,9,9,7,7,6,6,6,8,7,5,8,5,6,3,4,2,2
24,10,8,5,18,11,10,7,9,9,9,7,7,9,7,8,8,8,11,9,11,6,7,5,10
25,12,11,16,20,11,8,9,13,12,15,4,11,15,17,10,14,11,15,16,18,8,8,8,16
26,11,9,3,7,3,12,3,19,11,9,17,29,13,14,17,9,17,5,19,5,5,19,16,10
27,18,14,25,23,25,13,13,24,29,15,29,17,23,29,22,15,14,14,29,20,29,11,16,25
28,10,7,13,11,9,10,11,13,10,18,12,9,12,14,8,12,9,12,9,15,11,9,9,9
29,34,18,3,40,16,17,23,22,21,17,18,15,21,11,12,10,19,9,10,19,6,15,11,10
30,15,3,20,20,16,26,11,21,40,29,23,38,20,13,8,16,13,11,6,12,9,31,3,3
31,9,9,9,16,15,10,7,9,12,12,9,12,8,6,8,2,8,8,12,8,7,12,8,7
32,19,18,23,17,54,34,21,30,30,26,34,20,27,30,55,33,29,20,22,12,25,22,10,24
33,11,10,10,12,10,19,13,18,25,20,15,17,10,13,15,14,16,13,12,11,9,9,5,3
34,17,25,10,34,60,29,19,44,21,59,26,53,47,40,26,37,55,21,54,57,51,18,46,20
35,12,59,8,37,25,66,12,35,50,19,73,26,39,37,29,33,23,25,25,44,41,23,39,19
36,25,26,3,16,24,6,4,12,12,15,22,36,36,27,23,23,9,20,26,60,46,10,21,9
37,20,13,48,42,27,25,17,23,23,31,16,16,22,17,20,19,20,25,22,25,15,16,18,24
38,15,14,7,26,22,19,17,20,22,20,6,14,19,21,10,18,14,19,20,6,8,14,17,15
39,32,35,25,36,33,46,48,32,57,57,30,42,47,48,40,44,44,52,55,17,35,43,44,42
40,17,13,20,26,18,19,23,27,27,19,21,6,19,14,22,14,27,14,22,25,19,15,13,14
41,56,40,56,83,47,118,63,96,127,151,104,92,94,135,94,99,62,72,106,121,96,105,69,100
42,17,30,10,36,50,70,19,37,26,23,26,30,47,39,28,37,17,21,12,25,34,18,46,14
43,6,13,7,29,14,25,7,15,15,7,2,6,9,11,6,10,3,2,3,2,5,2,17,3
44,41,39,24,40,62,24,32,33,14,39,62,43,74,59,15,36,9,30,9,37,58,30,54,33
45,101,9,81,54,38,103,101,93,50,42,49,127,33,97,115,46,120,39,53,76,18,129,9,16
46,16,6,13,10,11,15,17,21,17,15,19,21,20,17,23,18,16,16,17,9,14,14,5,12
47,18,11,20,25,7,12,15,13,19,19,14,12,18,14,17,8,8,8,6,17,13,9,10,11
48,13,17,13,25,14,19,22,20,29,26,16,20,19,28,21,19,15,20,22,20,15,17,14,11
49,6,34,6,37,7,20,12,29,22,7,34,15,21,30,22,21,14,20,25,44,41,23,39,19
50,6,19,15,31,11,19,10,36,14,14,30,16,33,46,21,21,28,16,44,43,20,14,37,14
51,13,39,13,39,25,13,6,35,12,14,30,18,32,52,41,31,25,30,36,45,32,27,30,31
52,19,17,15,14,21,11,13,18,13,12,18,13,17,10,15,14,12,16,12,15,15,12,11,15
53,7,17,9,12,13,15,13,17,25,19,14,16,13,13,15,12,15,16,12,14,9,8,6,3
54,14,9,30,11,27,17,24,22,32,32,19,23,21,16,19,20,29,25,31,25,21,22,15,4
55,3,9,13,6,11,4,4,9,9,5,1,5,5,7,4,6,2,2,2,1,3,2,4,2
56,14,40,32,23,31,4,21,12,7,4,11,26,17,16,23,5,9,8,26,11,27,12,13,31
57,13,5,7,10,9,12,10,17,14,12,16,18,16,14,19,11,9,9,10,6,12,12,4,7
58,7,37,7,48,34,42,41,38,17,14,24,19,36,21,18,44,27,19,7,33,25,42,26,9
59,2,4,13,7,16,8,14,13,13,19,11,9,13,10,9,12,17,15,18,15,7,13,9,7
60,10,4,8,8,6,7,2,6,5,4,4,4,5,2,3,6,3,3,3,2,4,5,4,3
61,1,2,1,2,1,2,1,5,5,5,4,3,5,5,3,3,2,5,4,3,3,2,7,2
62,13,12,34,31,32,39,13,28,16,15,18,25,26,25,17,31,19,12,9,8,14,13,10,7
63,9,5,11,9,12,13,10,13,11,13,12,10,17,15,14,16,10,14,18,11,12,13,9,13
64,11,13,11,17,11,21,21,19,27,26,4,26,18,20,20,4,13,21,5,17,10,14,10,9
65,32,24,43,16,5,22,22,29,29,39,20,21,28,21,25,24,26,27,23,27,24,20,27,30
66,24,27,25,39,36,38,35,31,44,41,21,43,30,44,32,30,30,39,42,31,39,27,22,27
67,8,7,7,6,9,5,5,5,7,7,6,5,5,5,6,4,3,7,7,6,6,7,12,7
68,19,17,14,14,14,10,13,17,13,12,12,12,13,10,15,14,12,16,12,10,14,12,11,14
69,33,35,31,39,33,37,32,43,62,35,8,41,41,31,37,35,20,22,30,24,19,21,35,31
70,3,8,7,21,18,23,22,20,29,40,25,21,15,15,18,35,18,27,12,25,10,4,4,2
71,18,5,7,8,7,9,7,8,9,6,7,8,11,7,10,10,8,8,8,10,10,12,16,12
72,11,6,10,6,1,4,1,7,7,8,1,7,7,5,6,2,6,7,7,8,9,10,9,7
73,17,7,20,13,23,17,19,23,18,16,21,12,17,18,15,14,18,17,23,17,12,16,12,13
74,22,14,14,26,15,22,15,20,29,23,14,19,19,21,14,6,18,19,19,25,17,19,34,15
75,36,44,28,26,33,37,48,40,54,55,26,42,46,24,29,22,31,33,39,23,31,43,31,27
76,22,20,35,23,34,18,27,25,26,35,30,25,34,26,19,22,26,23,28,24,23,25,19,20
77,3,5,5,5,6,6,4,4,5,7,4,4,5,4,3,3,2,3,4,3,3,3,6,8
78,7,10,15,10,5,21,10,19,26,30,15,19,26,26,23,19,9,10,16,12,15,8,12,8
79,10,6,3,5,4,7,4,6,1,4,3,6,3,6,8,7,6,5,6,4,3,2,3,9
80,8,7,11,7,9,8,8,7,10,14,9,10,7,8,9,12,9,12,10,12,9,10,12,8
81,23,40,34,39,40,36,32,39,31,28,35,30,28,31,27,34,31,30,27,29,20,27,27,32
82,20,18,9,15,13,12,20,13,9,9,11,9,12,7,11,10,8,14,9,13,12,18,17,19
83,9,12,4,10,16,23,20,27,39,37,33,19,26,20,23,18,17,21,11,18,10,12,17,6
