,numreqs_pool,numedges_osp,numedges_rtv,numedges_sba,numedges_gi
0,2013,29501,12490,2085,1899
1,2021,29267,11591,2244,2007
2,2028,26052,9997,1855,1668
3,2022,26131,10652,1985,1796
4,2055,25223,10439,2189,1972
5,2054,25966,10512,2006,1841
6,2018,27486,10675,2152,1956
7,2004,29044,11041,2275,2075
8,1992,25431,9570,1869,1686
9,2040,29625,10684,2289,2075
10,2076,33699,11137,2339,2082
11,2089,33950,11573,2459,2207
12,2120,30911,10471,2310,2082
13,2064,25012,9038,1929,1749
14,2096,29608,11178,2379,2120
15,2101,36671,11651,2306,2084
16,2129,42907,12026,2276,2046
17,2116,39512,12243,2224,2021
18,2131,39705,11671,2525,2280
19,2203,39296,11395,2250,2015
20,2230,35766,9776,2038,1876
21,2214,39169,11479,2325,2045
22,2231,44382,11479,2564,2300
23,2201,38284,10198,1993,1858
24,2182,37740,10858,2286,2049
25,2121,35517,10813,2082,1853
26,2140,36236,11061,2589,2376
27,2163,33427,9736,2164,1949
28,2189,36927,10596,2475,2257
29,2204,32237,10061,2330,2129
30,2173,29360,8691,2113,1903
31,2150,30900,10358,2106,1942
32,2147,31136,9804,2236,2003
33,2128,28618,9787,2058,1845
34,2157,29965,9365,2012,1777
35,2192,33587,10621,2272,2022
36,2193,32804,10089,1952,1784
37,2161,31093,10801,2118,1912
38,2155,33326,10491,2053,1888
39,2156,29507,9534,2013,1836
40,2116,30158,9325,1760,1599
41,2158,34269,10093,2285,2060
42,2188,29335,9477,2128,1937
43,2149,35372,10231,2087,1870
44,2142,34076,10473,2149,1992
45,2158,32034,9926,2103,1891
46,2151,32385,9468,2224,1991
47,2162,37497,9640,1989,1846
48,2142,34031,9222,2032,1818
49,2150,33546,9601,2216,1990
50,2117,33546,9609,1952,1796
51,2089,30828,10013,2176,1981
52,2100,35340,10097,2348,2122
53,2046,32803,9495,2018,1841
54,2070,32674,9935,2007,1826
55,2103,31687,9964,2242,2035
56,2117,31744,9806,1941,1748
57,2119,30948,8977,1943,1742
58,2128,27283,9733,2155,1981
59,2117,28542,9925,2211,2006
60,2112,25698,12359,2037,1867
61,2088,28151,11982,2117,1919
62,2097,31822,11544,1935,1745
63,2155,30888,11026,2334,2089
64,2161,38932,12021,2246,2057
65,2141,27616,11637,2000,1825
66,2176,36319,11965,2116,1900
67,2127,26923,11559,2009,1841
68,2163,30193,12714,2385,2098
69,2120,22940,12026,1937,1751
70,2131,30435,12373,2360,2128
71,2079,30195,11132,1749,1589
72,2096,29790,12805,2250,1971
73,2078,33092,11870,1723,1540
74,2106,27379,13212,1917,1749
75,2162,30738,13449,2400,2128
76,2156,33365,11102,1918,1721
77,2153,35528,12939,2359,2140
78,2141,38793,13631,2336,2102
79,2121,43420,13560,2484,2238
80,2136,41427,13531,2408,2160
81,2117,47648,13512,2249,2004
82,2080,42076,12702,2044,1858
83,2119,31168,12684,2369,2121
84,2130,32018,13124,2233,1971
85,2136,36347,11427,1959,1762
86,2148,37936,12226,2284,2071
87,2112,32436,12849,2268,2057
88,2112,38332,11539,2025,1827
89,2115,36518,12141,2179,1984
90,2133,36224,12284,2223,1973
91,2158,35284,11251,2090,1896
92,2158,33306,11306,2360,2127
93,2161,35251,11270,2118,1884
94,2201,32562,11400,2146,1933
95,2201,28445,12356,2349,2145
96,2178,31172,11722,2126,1876
97,2175,30835,11872,2221,2019
98,2163,31389,12900,2367,2089
99,2156,30021,12004,1899,1690
100,2169,32203,12032,2083,1894
