,numreqs_new,numreqs_matched_osp,numreqs_matched_rtv2,numreqs_matched_sba,numreqs_matched_gi
0,439,371,366,360,354
1,444,391,386,378,376
2,442,368,360,356,356
3,414,354,350,348,349
4,439,385,384,377,373
5,419,358,354,353,349
6,417,368,366,365,362
7,428,365,363,355,353
8,417,345,342,338,334
9,466,386,383,372,373
10,446,394,392,385,382
11,438,365,364,355,355
12,466,394,383,381,380
13,406,338,331,327,324
14,443,377,369,367,367
15,431,358,346,342,339
16,452,389,378,376,376
17,451,394,387,380,376
18,478,386,374,372,372
19,484,410,401,400,396
20,433,364,350,349,347
21,438,362,352,350,348
22,471,403,391,390,388
23,450,380,369,363,361
24,463,385,378,376,370
25,427,361,347,341,341
26,486,411,400,396,398
27,445,376,369,365,365
28,488,424,410,407,405
29,495,411,401,399,394
30,447,364,355,354,353
31,426,347,336,332,326
32,454,362,351,350,348
33,444,376,365,361,360
34,450,378,366,366,365
35,469,391,377,377,376
36,449,361,351,349,345
37,439,357,346,345,343
38,454,383,376,371,364
39,460,346,333,332,330
40,409,340,330,328,323
41,461,393,381,380,379
42,478,386,377,375,368
43,448,387,374,373,365
44,450,380,369,369,363
45,443,368,362,361,361
46,453,367,354,350,348
47,455,382,368,367,365
48,437,370,362,360,358
49,437,370,360,358,356
50,422,334,325,324,322
51,421,345,336,332,330
52,468,394,386,380,381
53,417,350,344,344,347
54,440,362,349,342,338
55,448,376,370,368,365
56,443,361,349,347,345
57,418,350,340,337,337
58,441,363,355,350,347
59,436,361,349,348,348
60,425,355,348,345,339
61,431,356,346,342,339
62,423,358,344,340,340
63,467,372,361,361,357
64,453,368,358,355,349
65,434,377,357,352,347
66,428,344,327,323,320
67,391,328,318,313,310
68,467,383,372,366,366
69,410,339,333,324,317
70,451,376,363,362,360
71,402,330,322,317,314
72,447,373,360,357,357
73,411,336,329,319,316
74,413,330,324,323,323
75,477,404,387,385,380
76,430,359,340,331,333
77,416,356,342,336,333
78,439,365,347,341,337
79,432,375,358,352,347
80,462,383,368,368,364
81,438,354,340,339,339
82,410,342,327,322,320
83,479,390,368,366,361
84,430,359,344,339,339
85,421,343,325,325,318
86,459,389,374,371,367
87,437,363,348,344,347
88,417,346,337,333,333
89,430,350,336,332,327
90,468,367,350,346,345
91,447,361,336,332,332
92,458,373,352,347,346
93,450,361,344,344,341
94,446,356,348,342,340
95,455,374,358,357,354
96,436,349,336,331,332
97,444,366,346,343,341
98,452,381,366,364,363
99,442,373,360,353,351
100,427,340,330,328,326
101,428,331,317,313,308
102,477,388,366,361,356
103,442,354,332,330,329
104,448,337,313,310,310
105,439,331,321,321,317
106,425,340,324,317,314
107,428,341,325,320,315
108,471,388,368,363,362
109,435,339,323,312,315
110,456,374,359,352,354
111,426,336,320,317,315
112,433,352,331,329,327
113,417,348,332,330,330
114,415,334,324,323,319
115,453,364,349,348,345
116,422,330,314,311,311
117,438,356,341,336,339
