id,olng,olat,dlng,dlat,Ts,Tr,Cep,Tp,Td,WT,TD,D
13200,-74.00322723388672,40.74908828735352,-73.98120880126955,40.77914810180664,581.68,1800,1800,2397.88,2979.56,597.8800000000001,-1.1368683772161603e-13,0.9999999999999998
13201,-73.9872055053711,40.718849182128906,-73.9579086303711,40.784706115722656,1432.26,1800,1800,2280.82,3713.08,480.82000000000016,-2.2737367544323206e-13,0.9999999999999999
13202,-73.97918701171875,40.76501083374024,-74.0038833618164,40.73738098144531,906.9,1800,1800,1819.05,2849.9900000000002,19.049999999999955,124.0400000000003,1.1367736244348885
13203,-73.97197723388672,40.786521911621094,-73.96662139892578,40.764930725097656,696.59,1800,1800,1805.8899999999999,2612.4,5.889999999999873,109.92000000000019,1.1577972695559802
13204,-73.99594116210938,40.73883438110352,-74.00457000732422,40.74711227416992,343.02,1800,1800,1871.39,2214.41,71.3900000000001,-2.2737367544323206e-13,0.9999999999999993
13205,-73.97625732421875,40.77611541748047,-73.99132537841797,40.76003646850585,511.64,1800,1800,1806.77,2325.96,6.769999999999982,7.550000000000068,1.0147564693925417
13206,-73.98928833007811,40.74781036376953,-73.99784851074219,40.74123001098633,262.08,1800,1800,1862.22,2193.33,62.22000000000003,69.02999999999992,1.2633928571428568
13207,-73.97818756103516,40.788536071777344,-73.97115325927734,40.79560852050781,193.79,1800,1800,2089.44,2283.23,289.44000000000005,-2.842170943040401e-14,0.9999999999999999
13208,-73.98511505126955,40.77888488769531,-73.95307922363281,40.78310775756836,769.17,1800,1800,1878.97,2681.9700000000003,78.97000000000003,33.83000000000027,1.0439824746154949
13209,-73.984619140625,40.73979187011719,-73.98883056640625,40.72021865844727,659.05,1800,1800,1853.55,2633.04,53.549999999999955,120.44000000000005,1.1827478946969123
13210,-74.0040512084961,40.74760818481445,-73.99172210693358,40.72639083862305,805.46,1801,1801,1917.6,2824.38,116.59999999999991,101.32000000000016,1.1257914731954413
13211,-73.98199462890625,40.74617004394531,-73.95796966552734,40.77017211914063,816.99,1801,1801,-1.0,-1.0,-1,-1,0.0
13212,-74.00814056396483,40.7456283569336,-74.01416778564453,40.71440887451172,599.89,1801,1801,-1.0,-1.0,-1,-1,0.0
13213,-73.98400115966798,40.74656677246094,-73.97138977050781,40.75556564331055,434.92,1801,1801,-1.0,-1.0,-1,-1,0.0
13214,-73.96887969970702,40.7697639465332,-74.00863647460938,40.71979522705078,1405.88,1801,1801,-1.0,-1.0,-1,-1,0.0
13215,-73.99317169189453,40.74285125732422,-73.9767074584961,40.73949432373047,434.83,1801,1801,-1.0,-1.0,-1,-1,0.0
13216,-73.97914123535155,40.771968841552734,-73.9930191040039,40.74248123168945,975.76,1802,1802,1916.41,2972.46,114.41000000000008,80.28999999999996,1.082284578174961
13217,-74.00729370117188,40.75178146362305,-73.99474334716798,40.7503318786621,366.96,1802,1802,-1.0,-1.0,-1,-1,0.0
13218,-74.00347900390625,40.728530883789055,-73.97360229492188,40.75988006591797,1022.53,1802,1802,-1.0,-1.0,-1,-1,0.0
13219,-74.00566101074219,40.74113845825195,-74.01612854003906,40.71498107910156,648.0,1802,1802,1908.9399999999998,2570.85,106.93999999999983,13.910000000000082,1.0214660493827161
13220,-73.99153900146483,40.74443817138672,-73.995849609375,40.73286819458008,326.78,1802,1802,-1.0,-1.0,-1,-1,0.0
13221,-73.97550964355469,40.74932861328125,-73.95211029052734,40.77322006225585,583.01,1802,1802,1835.81,2496.0499999999997,33.809999999999945,77.22999999999979,1.132467710673916
13222,-73.98091888427734,40.74190902709961,-73.99005126953125,40.7622184753418,926.48,1803,1803,1834.93,2852.0299999999997,31.930000000000064,90.61999999999966,1.097811069855798
13223,-73.9583969116211,40.77565002441406,-73.96588134765625,40.7530403137207,734.66,1803,1803,1847.8899999999999,2605.5499999999997,44.88999999999987,22.999999999999886,1.031306999156072
13224,-74.00819396972656,40.737606048583984,-73.98941040039062,40.75792694091797,665.27,1803,1803,-1.0,-1.0,-1,-1,0.0
13225,-73.97550201416014,40.75554656982422,-73.99127197265625,40.75575637817383,546.51,1803,1803,1839.28,2402.29,36.27999999999997,16.5,1.030191579294066
13226,-73.97170257568358,40.756797790527344,-73.97798156738281,40.76556396484375,438.16,1803,1803,-1.0,-1.0,-1,-1,0.0
13227,-73.95211029052734,40.76613998413085,-73.9462661743164,40.78306579589844,346.38,1803,1803,-1.0,-1.0,-1,-1,0.0
13228,-73.9853515625,40.73865127563477,-73.98416137695312,40.72547149658203,443.61,1803,1803,1869.55,2313.16,66.54999999999995,-1.1368683772161603e-13,0.9999999999999998
13229,-73.9817123413086,40.76167297363281,-73.96022033691406,40.77032852172852,754.09,1803,1803,-1.0,-1.0,-1,-1,0.0
13230,-73.96824645996094,40.79907989501953,-73.98043060302734,40.76551818847656,834.11,1803,1803,1895.13,2864.93,92.13000000000011,135.6899999999997,1.1626763856086124
13231,-73.97726440429686,40.76453399658203,-73.95543670654298,40.78246688842773,619.76,1804,1804,1882.3,2657.86,78.29999999999995,155.80000000000018,1.2513876339228092
13232,-73.98684692382812,40.72593307495117,-74.00305938720702,40.71796417236328,608.97,1804,1804,-1.0,-1.0,-1,-1,0.0
13233,-73.96351623535155,40.76880645751953,-73.96321868896483,40.75444793701172,565.26,1804,1804,-1.0,-1.0,-1,-1,0.0
13234,-73.96353912353516,40.76861190795898,-73.97660064697266,40.775691986083984,471.67,1804,1804,1899.3699999999994,2411.8699999999994,95.36999999999944,40.829999999999984,1.086564759259652
13235,-73.97913360595702,40.76399612426758,-73.99638366699219,40.74284362792969,773.35,1804,1804,-1.0,-1.0,-1,-1,0.0
13236,-73.99474334716798,40.72774887084961,-73.9931640625,40.733665466308594,244.59,1804,1804,-1.0,-1.0,-1,-1,0.0
13237,-73.96361541748048,40.7636833190918,-73.95341491699219,40.77859115600585,265.22,1804,1804,1893.71,2158.93,89.71000000000004,-2.2737367544323206e-13,0.9999999999999991
13238,-73.9710464477539,40.75834655761719,-73.9794921875,40.76163864135742,387.73,1804,1804,-1.0,-1.0,-1,-1,0.0
13239,-73.9672622680664,40.79336929321289,-73.97763061523438,40.77891159057617,251.26,1804,1804,-1.0,-1.0,-1,-1,0.0
13240,-73.94869232177734,40.78190612792969,-73.97700500488281,40.78799057006836,621.73,1804,1804,-1.0,-1.0,-1,-1,0.0
13241,-73.96763610839844,40.75616836547852,-73.98282623291014,40.734676361083984,414.62,1805,1805,1856.3400000000001,2270.96,51.340000000000146,-1.1368683772161603e-13,0.9999999999999998
13242,-73.98390960693358,40.7625389099121,-73.96900177001955,40.76068115234375,552.12,1805,1805,-1.0,-1.0,-1,-1,0.0
13243,-73.99234008789062,40.749359130859375,-73.99224853515625,40.73363494873047,434.53,1805,1805,-1.0,-1.0,-1,-1,0.0
13244,-73.95594787597656,40.7635498046875,-73.99615478515625,40.7372932434082,949.22,1805,1805,1902.93,2919.4100000000003,97.93000000000006,67.26000000000022,1.0708581782937572
13245,-73.95069122314453,40.779388427734375,-74.0037841796875,40.75074768066406,1294.81,1805,1805,-1.0,-1.0,-1,-1,0.0
13246,-73.96308135986328,40.76234817504883,-73.99333190917969,40.735008239746094,881.71,1805,1805,1854.3999999999999,2895.1099999999997,49.399999999999864,158.99999999999977,1.1803314014812123
