id,olng,olat,dlng,dlat,Ts,Tr,Cep,Tp,Td,WT,TD,D
13200,-74.00322723388672,40.74908828735352,-73.98120880126955,40.77914810180664,581.68,1800,1800,1800.0,2381.68,0.0,-1.1368683772161603e-13,0.9999999999999998
13201,-73.9872055053711,40.718849182128906,-73.9579086303711,40.784706115722656,1432.26,1800,1800,-1.0,-1.0,-1,-1,0.0
13202,-73.97918701171875,40.76501083374024,-74.0038833618164,40.73738098144531,906.9,1800,1800,1857.61,2764.51,57.6099999999999,3.410605131648481e-13,1.0000000000000004
13203,-73.97197723388672,40.786521911621094,-73.96662139892578,40.764930725097656,696.59,1800,1800,1829.6299999999999,2580.81,29.62999999999988,54.59000000000003,1.0783674758466244
13204,-73.99594116210938,40.73883438110352,-74.00457000732422,40.74711227416992,343.02,1800,1800,-1.0,-1.0,-1,-1,0.0
13205,-73.97625732421875,40.77611541748047,-73.99132537841797,40.76003646850585,511.64,1800,1800,-1.0,-1.0,-1,-1,0.0
13206,-73.98928833007811,40.74781036376953,-73.99784851074219,40.74123001098633,262.08,1800,1800,-1.0,-1.0,-1,-1,0.0
13207,-73.97818756103516,40.788536071777344,-73.97115325927734,40.79560852050781,193.79,1800,1800,1842.0600000000002,2061.9300000000003,42.06000000000017,26.080000000000126,1.1345786676299092
13208,-73.98511505126955,40.77888488769531,-73.95307922363281,40.78310775756836,769.17,1800,1800,1849.83,2683.08,49.82999999999993,64.08000000000004,1.0833105815359414
13209,-73.984619140625,40.73979187011719,-73.98883056640625,40.72021865844727,659.05,1800,1800,-1.0,-1.0,-1,-1,0.0
13210,-74.0040512084961,40.74760818481445,-73.99172210693358,40.72639083862305,805.46,1801,1801,1835.48,2640.94,34.48000000000002,0.0,1.0
13211,-73.98199462890625,40.74617004394531,-73.95796966552734,40.77017211914063,816.99,1801,1801,-1.0,-1.0,-1,-1,0.0
13212,-74.00814056396483,40.7456283569336,-74.01416778564453,40.71440887451172,599.89,1801,1801,-1.0,-1.0,-1,-1,0.0
13213,-73.98400115966798,40.74656677246094,-73.97138977050781,40.75556564331055,434.92,1801,1801,-1.0,-1.0,-1,-1,0.0
13214,-73.96887969970702,40.7697639465332,-74.00863647460938,40.71979522705078,1405.88,1801,1801,-1.0,-1.0,-1,-1,0.0
13215,-73.99317169189453,40.74285125732422,-73.9767074584961,40.73949432373047,434.83,1801,1801,-1.0,-1.0,-1,-1,0.0
13216,-73.97914123535155,40.771968841552734,-73.9930191040039,40.74248123168945,975.76,1802,1802,1949.96,2925.72,147.96000000000004,-2.2737367544323206e-13,0.9999999999999998
13217,-74.00729370117188,40.75178146362305,-73.99474334716798,40.7503318786621,366.96,1802,1802,-1.0,-1.0,-1,-1,0.0
13218,-74.00347900390625,40.728530883789055,-73.97360229492188,40.75988006591797,1022.53,1802,1802,-1.0,-1.0,-1,-1,0.0
13219,-74.00566101074219,40.74113845825195,-74.01612854003906,40.71498107910156,648.0,1802,1802,1856.29,2504.29,54.289999999999964,0.0,1.0
13220,-73.99153900146483,40.74443817138672,-73.995849609375,40.73286819458008,326.78,1802,1802,-1.0,-1.0,-1,-1,0.0
13221,-73.97550964355469,40.74932861328125,-73.95211029052734,40.77322006225585,583.01,1802,1802,1832.6799999999998,2493.81,30.679999999999836,78.12000000000012,1.1339942711102728
13222,-73.98091888427734,40.74190902709961,-73.99005126953125,40.7622184753418,926.48,1803,1803,-1.0,-1.0,-1,-1,0.0
13223,-73.9583969116211,40.77565002441406,-73.96588134765625,40.7530403137207,734.66,1803,1803,1832.37,2567.03,29.36999999999989,3.410605131648481e-13,1.0000000000000004
13224,-74.00819396972656,40.737606048583984,-73.98941040039062,40.75792694091797,665.27,1803,1803,1983.16,2648.43,180.16000000000008,-2.2737367544323206e-13,0.9999999999999997
13225,-73.97550201416014,40.75554656982422,-73.99127197265625,40.75575637817383,546.51,1803,1803,-1.0,-1.0,-1,-1,0.0
13226,-73.97170257568358,40.756797790527344,-73.97798156738281,40.76556396484375,438.16,1803,1803,-1.0,-1.0,-1,-1,0.0
13227,-73.95211029052734,40.76613998413085,-73.9462661743164,40.78306579589844,346.38,1803,1803,-1.0,-1.0,-1,-1,0.0
13228,-73.9853515625,40.73865127563477,-73.98416137695312,40.72547149658203,443.61,1803,1803,1849.41,2293.02,46.41000000000008,-1.1368683772161603e-13,0.9999999999999998
13229,-73.9817123413086,40.76167297363281,-73.96022033691406,40.77032852172852,754.09,1803,1803,-1.0,-1.0,-1,-1,0.0
13230,-73.96824645996094,40.79907989501953,-73.98043060302734,40.76551818847656,834.11,1803,1803,2079.87,2913.98,276.8699999999999,1.1368683772161603e-13,1.0000000000000002
13231,-73.97726440429686,40.76453399658203,-73.95543670654298,40.78246688842773,619.76,1804,1804,-1.0,-1.0,-1,-1,0.0
13232,-73.98684692382812,40.72593307495117,-74.00305938720702,40.71796417236328,608.97,1804,1804,1857.81,2466.78,53.809999999999945,2.2737367544323206e-13,1.0000000000000004
13233,-73.96351623535155,40.76880645751953,-73.96321868896483,40.75444793701172,565.26,1804,1804,-1.0,-1.0,-1,-1,0.0
13234,-73.96353912353516,40.76861190795898,-73.97660064697266,40.775691986083984,471.67,1804,1804,-1.0,-1.0,-1,-1,0.0
13235,-73.97913360595702,40.76399612426758,-73.99638366699219,40.74284362792969,773.35,1804,1804,-1.0,-1.0,-1,-1,0.0
13236,-73.99474334716798,40.72774887084961,-73.9931640625,40.733665466308594,244.59,1804,1804,-1.0,-1.0,-1,-1,0.0
13237,-73.96361541748048,40.7636833190918,-73.95341491699219,40.77859115600585,265.22,1804,1804,-1.0,-1.0,-1,-1,0.0
13238,-73.9710464477539,40.75834655761719,-73.9794921875,40.76163864135742,387.73,1804,1804,-1.0,-1.0,-1,-1,0.0
13239,-73.9672622680664,40.79336929321289,-73.97763061523438,40.77891159057617,251.26,1804,1804,1830.0,2081.26,26.0,2.2737367544323206e-13,1.0000000000000009
13240,-73.94869232177734,40.78190612792969,-73.97700500488281,40.78799057006836,621.73,1804,1804,1937.07,2558.8,133.06999999999994,2.2737367544323206e-13,1.0000000000000004
13241,-73.96763610839844,40.75616836547852,-73.98282623291014,40.734676361083984,414.62,1805,1805,1833.57,2248.19,28.569999999999936,1.1368683772161603e-13,1.0000000000000002
13242,-73.98390960693358,40.7625389099121,-73.96900177001955,40.76068115234375,552.12,1805,1805,1830.0,2382.12,25.0,-1.1368683772161603e-13,0.9999999999999998
13243,-73.99234008789062,40.749359130859375,-73.99224853515625,40.73363494873047,434.53,1805,1805,1862.3400000000001,2296.87,57.340000000000146,-2.2737367544323206e-13,0.9999999999999994
13244,-73.95594787597656,40.7635498046875,-73.99615478515625,40.7372932434082,949.22,1805,1805,1860.08,2867.25,55.07999999999993,57.950000000000045,1.06105012536609
13245,-73.95069122314453,40.779388427734375,-74.0037841796875,40.75074768066406,1294.81,1805,1805,1833.63,3199.77,28.63000000000011,71.32999999999993,1.0550891636610775
13246,-73.96308135986328,40.76234817504883,-73.99333190917969,40.735008239746094,881.71,1805,1805,-1.0,-1.0,-1,-1,0.0
13247,-73.96730041503906,40.77228927612305,-73.98394775390625,40.75981521606445,654.64,1805,1805,-1.0,-1.0,-1,-1,0.0
13248,-73.96563720703125,40.76848983764648,-73.98619079589844,40.77216339111328,575.96,1805,1805,1844.26,2482.34,39.25999999999999,62.12000000000012,1.1078547121327873
13249,-74.00603485107422,40.74506378173828,-73.98211669921875,40.77837753295898,615.35,1806,1806,1860.17,2475.52,54.17000000000007,-1.1368683772161603e-13,0.9999999999999998
13250,-73.97412109375,40.751731872558594,-73.9905776977539,40.72673416137695,653.07,1806,1806,-1.0,-1.0,-1,-1,0.0
13251,-73.9690933227539,40.790916442871094,-73.98390960693358,40.77143478393555,394.71,1806,1806,-1.0,-1.0,-1,-1,0.0
13252,-74.00473022460938,40.75212097167969,-73.9947967529297,40.75040054321289,275.05,1806,1806,-1.0,-1.0,-1,-1,0.0
13253,-73.9935302734375,40.74728012084961,-74.00960540771484,40.716453552246094,598.69,1806,1806,-1.0,-1.0,-1,-1,0.0
13254,-73.98358154296875,40.77366256713867,-73.95997619628906,40.76361083984375,648.92,1806,1806,2060.28,2709.2,254.2800000000002,-3.410605131648481e-13,0.9999999999999994
13255,-73.9608154296875,40.76926040649415,-73.96945190429686,40.76347732543945,329.2,1806,1806,-1.0,-1.0,-1,-1,0.0
13256,-73.9955825805664,40.73094940185547,-73.9779281616211,40.754695892333984,829.53,1807,1807,-1.0,-1.0,-1,-1,0.0
13257,-73.96932983398438,40.76364517211913,-73.97335815429686,40.755237579345696,286.59,1807,1807,1840.73,2129.99,33.73000000000002,2.6699999999997885,1.0093164450957808
13258,-73.9979248046875,40.73596572875977,-73.98393249511719,40.753177642822266,455.21,1807,1807,1864.32,2319.53,57.319999999999936,2.8421709430404007e-13,1.0000000000000007
13259,-73.98915100097656,40.77288055419922,-73.97177124023438,40.78797912597656,454.12,1807,1807,1908.13,2362.25,101.13000000000011,-1.1368683772161603e-13,0.9999999999999998
13260,-73.98342895507811,40.74983978271485,-73.99767303466798,40.724281311035156,637.64,1807,1807,1973.25,2610.89,166.25,-1.1368683772161603e-13,0.9999999999999998
13261,-73.9984817504883,40.745208740234375,-74.00414276123048,40.75098037719727,246.0,1807,1807,1830.4,2122.9100000000003,23.40000000000009,46.51000000000022,1.1890650406504073
13262,-73.98562622070312,40.73270034790039,-73.9832534790039,40.74383163452149,381.91,1807,1807,-1.0,-1.0,-1,-1,0.0
13263,-73.99777984619139,40.76119613647461,-74.0076446533203,40.75164794921875,269.53,1807,1807,-1.0,-1.0,-1,-1,0.0
13264,-73.96961975097656,40.76103210449219,-74.00508117675781,40.74646377563477,1065.6,1807,1807,-1.0,-1.0,-1,-1,0.0
13265,-73.99127197265625,40.7299690246582,-73.96405792236328,40.773841857910156,1146.25,1807,1807,1865.57,3011.82,58.569999999999936,2.2737367544323206e-13,1.0000000000000002
13266,-74.00216674804686,40.72951126098633,-73.98345947265625,40.743446350097656,559.78,1807,1807,1856.44,2460.44,49.440000000000055,44.22000000000003,1.078995319589839
13267,-73.9893798828125,40.72636032104492,-74.006103515625,40.73586654663085,601.06,1807,1807,1861.25,2462.31,54.25,0.0,1.0
13268,-73.9997787475586,40.7347412109375,-73.98754119873048,40.7381591796875,379.08,1807,1807,-1.0,-1.0,-1,-1,0.0
