id,olng,olat,dlng,dlat,Ts,Tr,Cep,Tp,Td,WT,TD,D
419,-73.950195,40.780071,-74.00610400000002,40.727154,1439.81,600,600,857.08,2597.94,257.08000000000004,301.0500000000002,1.2090900882755364
420,-73.98964699999998,40.758919,-73.972267,40.756572999999996,516.52,600,600,757.3000000000001,1682.98,157.30000000000007,409.15999999999997,1.7921474483079067
421,-73.965126,40.762741,-73.990967,40.733074,732.93,600,600,757.36,1811.16,157.36,320.87000000000023,1.4377907849317129
422,-74.000908,40.731403,-73.969131,40.782013,1269.99,600,600,781.1999999999999,2370.13,181.19999999999993,318.9400000000003,1.251135835715242
423,-73.98835,40.743015,-74.006737,40.713432,823.66,600,600,858.59,2011.93,258.59000000000003,329.6800000000002,1.4002622441298596
424,-73.999367,40.730003,-73.978531,40.745087,657.9,600,600,-1.0,-1.0,-1,-1,0.0
425,-73.981369,40.744282,-73.991417,40.727787,459.72,600,600,-1.0,-1.0,-1,-1,0.0
426,-73.972122,40.76329000000001,-73.968437,40.757647999999996,232.84,600,600,849.79,1163.58,249.78999999999996,80.94999999999996,1.3476636316784056
427,-73.97187,40.794579,-73.962509,40.804871,191.1,600,600,634.3100000000001,1212.49,34.31000000000006,387.0799999999999,3.025536368393511
428,-74.002579,40.733982,-73.99542199999998,40.721603,531.74,600,600,-1.0,-1.0,-1,-1,0.0
429,-73.987549,40.730919,-73.974937,40.729931,345.38,600,600,-1.0,-1.0,-1,-1,0.0
430,-73.96176899999998,40.765018,-73.98819,40.759743,852.95,600,600,726.6899999999999,1986.83,126.68999999999994,407.1899999999998,1.4773902338941318
431,-73.969376,40.761631,-73.985146,40.727654,724.52,600,600,664.9200000000001,1520.7,64.92000000000007,131.26,1.1811682217192072
432,-74.007561,40.726116,-73.951256,40.809334,1510.11,600,600,729.5,2585.21,129.5,345.60000000000014,1.2288575004469875
433,-73.986214,40.762153999999995,-73.99006700000002,40.749348,421.63,600,600,-1.0,-1.0,-1,-1,0.0
434,-74.003754,40.742344,-73.959808,40.770874,1134.38,600,600,-1.0,-1.0,-1,-1,0.0
435,-74.003128,40.723366,-73.976089,40.760582,989.78,600,600,-1.0,-1.0,-1,-1,0.0
436,-73.99342299999998,40.721432,-73.967499,40.806763000000004,1726.38,600,600,644.93,2900.98,44.92999999999995,529.6700000000001,1.306809624763957
437,-73.981949,40.773216,-73.95920600000002,40.809326,582.27,600,600,899.24,1755.0200000000002,299.24,273.5100000000002,1.4697305373795666
438,-73.983238,40.75935,-73.994141,40.720271999999994,1219.21,600,600,719.47,2352.5800000000004,119.47000000000003,413.9000000000003,1.3394821236702457
439,-73.99359100000002,40.721207,-74.005821,40.741153999999995,770.99,600,600,-1.0,-1.0,-1,-1,0.0
440,-73.98826600000002,40.723492,-73.988167,40.769740999999996,1240.61,600,600,-1.0,-1.0,-1,-1,0.0
441,-73.988647,40.717564,-73.97539499999998,40.748798,805.15,600,600,-1.0,-1.0,-1,-1,0.0
442,-73.952278,40.777313,-73.972534,40.786072,424.77,601,601,681.83,1550.91,80.83000000000004,444.31000000000006,2.046001365444829
443,-73.997955,40.71693,-73.990814,40.755909,1105.42,604,604,-1.0,-1.0,-1,-1,0.0
444,-74.003654,40.743183,-73.997124,40.760143,355.22,606,606,-1.0,-1.0,-1,-1,0.0
445,-74.001587,40.73597,-73.948898,40.777252000000004,1172.73,608,608,710.24,2319.01,102.24000000000001,436.0400000000002,1.3718161895747532
446,-73.986275,40.740623,-74.00496700000002,40.739529,576.38,611,611,-1.0,-1.0,-1,-1,0.0
447,-73.997421,40.746651,-73.988838,40.762924,488.1,614,614,875.22,1406.65,261.22,43.33000000000004,1.0887727924605615
448,-73.970612,40.762005,-73.949364,40.77010300000001,486.89,617,617,884.7399999999999,1522.37,267.7399999999999,150.74,1.3095976503933127
449,-73.98062900000002,40.742744,-73.993256,40.722412,635.38,621,621,703.71,1813.07,82.71000000000004,473.9799999999999,1.745978784349523
450,-73.967598,40.756683,-73.989517,40.733371999999996,528.82,623,623,-1.0,-1.0,-1,-1,0.0
451,-73.995827,40.759315,-74.005783,40.741222,489.94,627,627,-1.0,-1.0,-1,-1,0.0
452,-73.986977,40.725456,-73.98397800000002,40.739231,404.33,628,628,-1.0,-1.0,-1,-1,0.0
453,-74.015671,40.70681,-73.988625,40.774101,1087.32,631,631,-1.0,-1.0,-1,-1,0.0
454,-73.967949,40.767132000000004,-73.972153,40.759895,206.32,634,634,-1.0,-1.0,-1,-1,0.0
455,-74.003738,40.738747,-74.01213800000002,40.709461,770.72,637,637,-1.0,-1.0,-1,-1,0.0
456,-73.98204799999998,40.77462,-73.942497,40.788979,801.96,639,639,930.74,1845.1000000000001,291.74,112.40000000000009,1.1401566162900894
457,-73.989418,40.762699,-74.001183,40.743977,472.54,643,643,745.1700000000001,1391.67,102.17000000000007,173.95999999999998,1.3681381470351717
458,-74.002686,40.74992,-73.981705,40.74556,593.33,644,644,-1.0,-1.0,-1,-1,0.0
459,-74.005585,40.721848,-73.983902,40.779469,1104.96,647,647,-1.0,-1.0,-1,-1,0.0
460,-73.97006999999998,40.752926,-74.005165,40.741058,868.9,651,651,-1.0,-1.0,-1,-1,0.0
461,-73.979668,40.784515,-74.00874300000002,40.70636,1546.87,653,653,922.5799999999999,2639.4,269.5799999999999,169.95000000000027,1.1098670217923938
462,-73.96891,40.754875,-73.992729,40.763412,791.23,657,657,830.88,2039.13,173.88,417.02,1.527052816500891
463,-73.992676,40.752262,-73.981155,40.742043,593.96,660,660,-1.0,-1.0,-1,-1,0.0
464,-74.012268,40.709140999999995,-73.988457,40.748775,843.72,660,660,-1.0,-1.0,-1,-1,0.0
465,-73.981789,40.778605999999996,-73.946136,40.811802,805.18,660,660,-1.0,-1.0,-1,-1,0.0
466,-73.97802,40.782951000000004,-73.951385,40.771889,589.35,660,660,865.2,1806.37,205.20000000000005,351.8199999999998,1.5969627555781791
467,-74.011093,40.711296000000004,-74.00843,40.736015,482.31,660,660,-1.0,-1.0,-1,-1,0.0
468,-74.003204,40.720591999999996,-74.009804,40.740387,558.23,660,660,-1.0,-1.0,-1,-1,0.0
469,-73.98867,40.748604,-73.98710600000003,40.763687,538.73,660,660,913.61,1621.12,253.61,168.77999999999986,1.3132923728027024
470,-73.990578,40.724262,-73.996338,40.738312,526.02,660,660,-1.0,-1.0,-1,-1,0.0
471,-73.99765,40.75666,-73.967056,40.80534,774.4,660,660,819.38,1968.41,159.38,374.6300000000002,1.483768078512397
472,-74.003998,40.722034,-73.986595,40.760925,1020.15,660,660,-1.0,-1.0,-1,-1,0.0
473,-73.957176,40.801983,-73.984383,40.765553000000004,789.16,660,660,893.88,1933.38,233.88,250.34000000000003,1.3172233767550308
474,-73.968742,40.758904,-73.97525,40.754021,222.38,660,660,954.06,1303.4,294.05999999999995,126.96000000000015,1.570914650598076
475,-73.992699,40.770214,-73.98155200000002,40.734287,1053.67,660,660,710.08,2288.85,50.08000000000004,525.0999999999999,1.4983533743961581
476,-73.988106,40.743225,-74.005066,40.739956,485.46,660,660,846.26,1331.7200000000003,186.26,2.8421709430404007e-13,1.0000000000000007
477,-73.964394,40.756199,-73.95476500000002,40.771511,198.77,660,660,815.19,1426.66,155.19000000000005,412.70000000000005,3.0762690546863207
478,-73.99850500000002,40.725273,-73.993042,40.737671,474.72,660,660,829.89,1696.88,169.89,392.2700000000001,1.8263186720593194
479,-73.986336,40.751265999999994,-73.978844,40.761826,219.42,660,660,-1.0,-1.0,-1,-1,0.0
480,-73.98362,40.749756,-74.005157,40.74087100000001,585.27,660,660,896.82,1611.66,236.82000000000005,129.57000000000005,1.221385001794044
481,-74.000038,40.732906,-73.978897,40.740593,587.77,660,660,895.3399999999999,1693.47,235.33999999999992,210.36000000000013,1.3578950950201611
482,-74.007637,40.732246,-74.004456,40.72159600000001,373.37,660,660,-1.0,-1.0,-1,-1,0.0
483,-73.967865,40.761368,-73.993652,40.721092,988.37,663,663,888.94,2100.45,225.94000000000005,223.13999999999976,1.2257656545625624
484,-73.981476,40.773903000000004,-73.950203,40.801228,794.84,666,666,-1.0,-1.0,-1,-1,0.0
485,-73.985153,40.72391500000001,-73.997574,40.724232,389.38,670,670,-1.0,-1.0,-1,-1,0.0
486,-73.998848,40.754822,-73.99078399999998,40.765987,204.22,674,674,727.94,932.16,53.940000000000055,-8.526512829121202e-14,0.9999999999999996
487,-73.98530600000002,40.731663,-73.987633,40.719765,490.4,676,676,926.81,1437.32,250.80999999999995,20.110000000000014,1.0410073409461664
488,-73.98484,40.758789,-73.98848000000002,40.748363,350.5,679,679,-1.0,-1.0,-1,-1,0.0
489,-73.984116,40.72327,-73.954941,40.783024,1086.17,682,682,-1.0,-1.0,-1,-1,0.0
490,-73.985039,40.728138,-73.946327,40.784912,833.12,685,685,839.67,2036.9899999999996,154.66999999999996,364.1999999999997,1.4371519108891873
491,-73.990166,40.758709,-73.98188,40.764590999999996,230.62,689,689,-1.0,-1.0,-1,-1,0.0
492,-73.988373,40.748562,-73.969849,40.784531,824.9,692,692,-1.0,-1.0,-1,-1,0.0
493,-73.998589,40.750294,-73.989799,40.729442999999996,708.63,695,695,-1.0,-1.0,-1,-1,0.0
494,-73.982445,40.782513,-74.003372,40.749893,600.0,699,699,-1.0,-1.0,-1,-1,0.0
495,-73.976089,40.749752,-73.999268,40.731483000000004,721.62,702,702,891.07,1659.0600000000002,189.07000000000005,46.37000000000012,1.0642581968348994
496,-73.97979000000002,40.737556,-73.997902,40.764019,1000.93,705,705,770.3800000000001,2229.8,65.38000000000011,458.4900000000001,1.4580640004795542
497,-73.982117,40.747459,-73.985489,40.740669,152.04,709,709,-1.0,-1.0,-1,-1,0.0
498,-73.989731,40.729679,-73.97288499999998,40.782589,1128.05,712,712,-1.0,-1.0,-1,-1,0.0
499,-73.961182,40.775021,-73.96077,40.761612,425.29,715,715,-1.0,-1.0,-1,-1,0.0
500,-73.999779,40.728462,-73.97627299999998,40.748863,735.74,717,717,-1.0,-1.0,-1,-1,0.0
501,-74.005119,40.728794,-73.983528,40.730114,653.77,720,720,-1.0,-1.0,-1,-1,0.0
