scenario,demand starts,demand ends,demand number,fleet size,capacity,max wait (s),max wait (s),method,interval (s),service type,total service rate,served rate (finished),serving rate (in-car),mean wt,mean ivd,mean detour,mean ivt
Manhattan,2013-05-06 00:00:00,2013-05-06 00:53:00,1820 (100%),200,4 (1),300,600,OSP-SR,30,SWST:,20.82% (379),16.32% (297),4.51% (82),182.14,205.09,1.38,780.59
0,2020-01-07_20:04,2020-01-07_20:05,0:00:45,runtime:,0.43,load (d):,2.0,load (t):,2.02,VWST:,0.0% (0),0.0% (0),0.0% (0),0.0,0.0,0.0,0.0
,,,,,,,,,,VWVT:,0.16% (3),0.16% (3),0.0% (0),812.54,0.0,1.0,276.38
Manhattan,2013-05-06 00:00:00,2013-05-06 23:59:00,373837 (100%),1000,4 (1),300,600,OSP-SR,30,SWST:,58.83% (219914),58.73% (219550),0.1% (364),176.1,212.9,1.36,838.23
1.0,2020-01-08_13:45,2020-01-08_16:14,2:28:31,runtime:,3.1,load (d):,2.36,load (t):,2.22,VWST:,0.13% (472),0.13% (472),0.0% (0),473.55,49.08,1.09,707.41
,,,,,,,,,,VWVT:,0.66% (2465),0.65% (2422),0.01% (43),1143.72,-0.0,1.0,653.29
Manhattan,2013-05-07 00:00:00,2013-05-07 23:59:00,398043 (100%),1000,4 (1),300,600,OSP-SR,30,SWST:,56.66% (225528),56.55% (225110),0.11% (418),177.03,213.22,1.36,837.6
1.0,2020-01-08_13:45,2020-01-08_16:21,2:35:35,runtime:,3.24,load (d):,2.42,load (t):,2.27,VWST:,0.12% (472),0.12% (472),0.0% (0),477.86,49.96,1.08,728.88
,,,,,,,,,,VWVT:,0.64% (2543),0.63% (2512),0.01% (31),1089.86,0.0,1.0,648.66
Manhattan,2013-05-08 00:00:00,2013-05-08 23:59:00,408490 (100%),1000,4 (1),300,600,OSP-SR,30,SWST:,57.12% (233338),57.01% (232880),0.11% (458),176.42,214.07,1.37,829.85
1.0,2020-01-08_13:45,2020-01-08_16:26,2:41:00,runtime:,3.36,load (d):,2.41,load (t):,2.33,VWST:,0.1% (410),0.1% (410),0.0% (0),480.86,48.49,1.09,701.93
,,,,,,,,,,VWVT:,0.63% (2588),0.63% (2560),0.01% (28),1155.02,-0.0,1.0,634.1
Manhattan,2013-05-05 00:00:00,2013-05-05 23:59:00,360178 (100%),1000,4 (1),300,600,OSP-SR,30,SWST:,71.53% (257649),71.47% (257413),0.07% (236),173.25,206.13,1.41,728.31
1.0,2020-01-08_13:45,2020-01-08_16:27,2:41:57,runtime:,3.38,load (d):,2.36,load (t):,2.26,VWST:,0.06% (234),0.06% (233),0.0% (1),494.78,45.09,1.08,616.19
,,,,,,,,,,VWVT:,0.79% (2847),0.78% (2810),0.01% (37),1043.07,-0.0,1.0,512.82
Manhattan,2013-05-09 00:00:00,2013-05-09 23:59:00,417040 (100%),1000,4 (1),300,600,OSP-SR,30,SWST:,56.04% (233708),55.92% (233189),0.12% (519),176.93,213.59,1.36,836.04
1.0,2020-01-08_13:45,2020-01-08_16:28,2:42:08,runtime:,3.38,load (d):,2.45,load (t):,2.35,VWST:,0.11% (449),0.11% (448),0.0% (1),478.24,50.95,1.08,722.57
,,,,,,,,,,VWVT:,0.58% (2415),0.57% (2391),0.01% (24),1117.96,-0.0,1.0,646.38
Manhattan,2013-05-10 00:00:00,2013-05-10 23:59:00,421661 (100%),1000,4 (1),300,600,OSP-SR,30,SWST:,56.15% (236771),56.0% (236143),0.15% (628),176.67,213.81,1.35,851.47
1.0,2020-01-08_13:46,2020-01-08_16:29,2:43:39,runtime:,3.41,load (d):,2.43,load (t):,2.42,VWST:,0.1% (434),0.1% (434),0.0% (0),473.57,54.33,1.09,744.37
,,,,,,,,,,VWVT:,0.62% (2594),0.61% (2586),0.0% (8),1164.67,-0.0,1.0,673.4
Manhattan,2013-05-11 00:00:00,2013-05-11 23:59:00,419245 (100%),1000,4 (1),300,600,OSP-SR,30,SWST:,60.71% (254513),60.59% (254009),0.12% (504),175.81,212.11,1.38,794.95
1.0,2020-01-08_13:46,2020-01-08_16:33,2:47:25,runtime:,3.49,load (d):,2.46,load (t):,2.43,VWST:,0.07% (300),0.07% (300),0.0% (0),482.23,49.77,1.09,667.14
,,,,,,,,,,VWVT:,0.58% (2434),0.58% (2424),0.0% (10),1084.29,0.0,1.0,594.81
Manhattan,2013-05-07 00:00:00,2013-05-07 23:59:00,398043 (100%),2000,6 (10),300,600,OSP,30,SWST:,91.89% (365763),91.74% (365173),0.15% (590),146.3,184.19,1.31,794.88
1.0,2020-01-08_20:42,2020-01-09_03:10,6:27:31,runtime:,8.08,load (d):,2.07,load (t):,1.75,VWST:,0.16% (630),0.16% (629),0.0% (1),500.62,35.55,1.07,692.99
,,,,,,,,,,VWVT:,1.45% (5780),1.42% (5656),0.03% (124),1146.07,-0.0,1.0,627.3
Manhattan,2013-05-06 00:00:00,2013-05-06 23:59:00,373837 (100%),2000,6 (10),300,600,OSP,30,SWST:,93.76% (350496),93.64% (350079),0.11% (417),146.17,181.95,1.3,792.04
1.0,2020-01-08_20:42,2020-01-09_03:27,6:44:34,runtime:,8.43,load (d):,1.99,load (t):,1.67,VWST:,0.16% (583),0.16% (582),0.0% (1),500.86,35.4,1.06,714.03
,,,,,,,,,,VWVT:,1.57% (5880),1.57% (5855),0.01% (25),1195.81,-0.0,1.0,622.36
