scenario,demand starts,demand ends,demand number,fleet size,capacity,max wait (s),max wait (s),method,interval (s),total service rate,served rate (finished),serving rate (in-car),mean waiting,mean in-car delay,wt viol rate,tw viol,td viol rate,td viol,mean detour,mean car load (dist),mean car load (time),simulation starts,simulation ends,run time,mean run time,remarks
Manhattan,2015-05-02 00:00:00,2015-05-02 00:40:00,608 (10.0%),100,4 (7),300,600,VT,30,31.91% (194),5.76% (35),18.42% (112),188.3,73.93,2.04% (3/147),66.29,0.0% (0/35),0.0,1.19,1.48,1.47,2019-12-03_15:15,2019-12-03_15:15,0:00:10,0.13,
Manhattan,2015-05-02 00:00:00,2015-05-02 23:59:00,388101 (100%),1000,4 (1),300,600,VT,30,57.38% (222706),56.6% (219648),0.66% (2562),185.72,216.8,1.25% (2788/222210),726.57,1.05% (2310/219648),536.06,1.34,2.35,2.33,2019-12-03_15:55,2019-12-03_17:44,1:49:35,2.28,
Manhattan,2015-05-02 00:00:00,2015-05-02 23:59:00,388101 (100%),2000,4 (1),300,600,VT,30,92.85% (360345),91.55% (355324),1.06% (4125),168.21,191.01,1.53% (5505/359449),869.95,1.37% (4876/355324),648.32,1.3,1.99,1.8,2019-12-03_15:24,2019-12-03_18:03,2:38:41,3.31,
Manhattan,2015-05-02 00:00:00,2015-05-02 23:59:00,388101 (100%),2000,4 (7),300,600,VT,30,92.65% (359579),91.36% (354567),1.06% (4098),174.68,191.39,1.67% (5994/358665),846.06,1.49% (5279/354567),626.62,1.3,1.99,1.79,2019-12-03_15:24,2019-12-03_18:20,2:56:07,3.67,
Manhattan,2015-05-02 00:00:00,2015-05-02 23:59:00,388101 (100%),1000,4 (7),600,600,HI,1,55.71% (216194),54.84% (212828),0.64% (2501),312.31,150.99,0.0% (0/215329),0.0,0.0% (0/212828),0.0,1.23,2.55,2.07,2019-12-03_15:22,2019-12-03_20:42,5:19:15,0.22,
Manhattan,2015-05-02 00:00:00,2015-05-02 23:59:00,388101 (100%),2000,2 (1),300,600,VT,30,75.57% (293271),74.55% (289329),0.81% (3129),225.89,147.88,1.86% (5449/292458),792.97,1.59% (4606/289329),597.56,1.23,1.54,1.39,2019-12-03_19:33,2019-12-03_21:58,2:24:26,3.01,
Manhattan,2015-05-02 00:00:00,2015-05-02 23:59:00,388101 (100%),2000,6 (1),300,600,VT,30,94.99% (368652),93.66% (363484),1.11% (4295),162.91,192.25,1.54% (5656/367779),915.81,1.4% (5075/363484),690.37,1.3,2.04,1.84,2019-12-03_19:33,2019-12-03_22:10,2:36:50,3.27,
Manhattan,2015-05-02 00:00:00,2015-05-02 23:59:00,388101 (100%),2000,10 (1),300,600,VT,30,95.17% (369370),93.84% (364184),1.11% (4321),162.46,192.8,1.52% (5618/368505),917.26,1.38% (5022/364184),693.04,1.3,2.04,1.84,2019-12-03_19:33,2019-12-03_22:12,2:38:19,3.3,
Manhattan,2015-05-02 00:00:00,2015-05-02 23:59:00,388101 (100%),1000,4 (7),300,600,VT_replan,30,58.37% (226542),57.58% (223466),0.67% (2582),188.68,216.97,1.1% (2491/226048),798.17,0.98% (2181/223466),583.13,1.35,2.4,2.37,2019-12-03_23:07,2019-12-04_05:44,6:36:44,8.27,
Manhattan,2015-05-02 00:00:00,2015-05-02 23:59:00,388101 (100%),2000,2 (3),300,600,VT_replan,30,76.36% (296369),75.32% (292333),0.81% (3160),233.63,146.25,1.63% (4825/295493),867.79,1.46% (4274/292333),648.49,1.23,1.55,1.4,2019-12-03_23:07,2019-12-04_07:28,8:20:26,10.43,
Manhattan,2015-05-02 00:00:00,2015-05-02 23:59:00,388101 (100%),2200,4 (1),600,600,HI,1,87.66% (340213),86.38% (335251),0.98% (3788),247.24,172.42,0.0% (0/339039),0.0,0.0% (0/335251),0.0,1.27,2.23,1.5,2019-12-03_23:05,2019-12-04_08:14,9:08:53,0.38,
Manhattan,2015-05-02 00:00:00,2015-05-02 23:59:00,388101 (100%),3000,4 (1),600,600,HI,1,94.56% (366994),93.18% (361629),1.08% (4183),196.04,168.44,0.0% (0/365812),0.0,0.0% (0/361629),0.0,1.26,1.96,1.18,2019-12-03_23:04,2019-12-04_10:14,11:09:30,0.47,
Manhattan,2015-05-02 00:00:00,2015-05-02 23:59:00,388101 (100%),2000,2 (3),300,600,VT,30,75.56% (293259),74.55% (289344),0.79% (3066),227.06,146.86,1.95% (5711/292410),777.54,1.65% (4774/289344),588.05,1.23,1.53,1.39,2019-12-04_11:44,2019-12-04_14:02,2:17:33,2.87,
Manhattan,2015-05-02 00:00:00,2015-05-02 23:59:00,388101 (100%),2200,4 (1),300,600,VT,30,96.22% (373430),94.87% (368181),1.11% (4312),164.01,179.39,1.68% (6256/372493),924.76,1.52% (5580/368181),701.24,1.28,1.89,1.67,2019-12-04_11:46,2019-12-04_14:11,2:25:21,3.03,
Manhattan,2015-05-02 00:00:00,2015-05-02 23:59:00,388101 (100%),2000,6 (10),300,600,VT,30,95.01% (368716),93.67% (363535),1.11% (4293),168.85,194.01,1.69% (6207/367828),892.56,1.52% (5519/363535),669.37,1.31,2.04,1.84,2019-12-04_11:45,2019-12-04_14:23,2:38:30,3.3,
Manhattan,2015-05-02 00:00:00,2015-05-02 23:59:00,388101 (100%),3000,4 (1),300,600,VT,30,100.0% (388089),98.62% (382751),1.16% (4516),148.06,149.23,1.66% (6447/387267),920.33,1.55% (5933/382751),674.08,1.23,1.69,1.22,2019-12-04_14:08,2019-12-04_17:21,3:12:31,4.01,
